organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"992603216","BYGGMESTER RICHARD FOSSER MINGE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.200","Oppføring av bygninger","","","","","","","false","","","","","","","","","","Måsaveien 42","SKI","1406","NORDRE FOLLO","3207","Norge","NO","2008-04-28","","false","2008-02-17","2017-01-01","918420533",""
"929554205","REPPE GEIR RYTMISKE TJENESTER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","90.011","Utøvende kunstnere og underholdningsvirksomhet innen musikk","","","","","","","false","","","","","","","","","","Stormyrvegen 9","RÆLINGEN","2005","RÆLINGEN","3224","Norge","NO","2022-07-27","","false","2022-05-05","","929267486",""
"917521271","JOHN DE-SCHAI OLSEN OVERSETTELSE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","74.300","Oversettelses- og tolkevirksomhet","","","","","","","false","","","","","","","","","","Grytting 104","STOKMARKNES","8450","HADSEL","1866","Norge","NO","2016-08-01","","false","2016-07-01","","917505004",""
"929895711","BOBILER AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","45.112","Detaljhandel med biler og lette motorvogner, unntatt motorsykler","","","","","","","false","","","Skrubbenesvegen 82","BRATTHOLMEN","5350","ØYGARDEN","4626","Norge","NO","Brattholmen","BRATTHOLMEN","5350","ØYGARDEN","4626","Norge","NO","2022-09-23","","false","2022-05-01","","876278812",""
"996464415","MYHRE ANLEGG & INDUSTRI AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","49.410","Godstransport på vei","","","","","","","true","","","Pålerudbyen 84","HØNEFOSS","3516","RINGERIKE","3305","Norge","NO","Hensveien 180","HØNEFOSS","3516","RINGERIKE","3305","Norge","NO","2011-01-24","","false","2010-12-13","","996294552",""
"831534192","RL SNEKKERSERVICE RENARS LIVINS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","43.320","Snekkerarbeid","","","","","","","false","","","","","","","","","","Silurveien 3","OSLO","0380","OSLO","0301","Norge","NO","2023-06-07","","false","2023-05-02","","931396560",""
"818006292","HALLEBERG INVEST","AAFY","Underenhet til ikke-næringsdrivende","49.410","Godstransport på vei","","","","","","","true","","","","","","","","","","Sentvetveien 326","BÅSTAD","1866","INDRE ØSTFOLD","3118","Norge","NO","2016-11-05","","false","","","917937346",""
"932132141","NANSETKRYSSET AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","Postboks 9740 Torget Vest","DRAMMEN","3010","DRAMMEN","3301","Norge","NO","Edvard Stangs gate 33","DRAMMEN","3014","DRAMMEN","3301","Norge","NO","2023-09-26","","false","2023-09-19","","932083868",""
"922478848","SLIDRE GRENDELAG","AAFY","Underenhet til ikke-næringsdrivende","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","false","","","","","","","","","","c/o Ola Ellef Bang/nKjeldelie 2D","SLIDRE","2966","VESTRE SLIDRE","3452","Norge","NO","2019-03-25","","false","","","921053002",""
"928848175","LEIJA AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","69.201","Regnskap og bokføring","","","","","","","false","","www.leija.no","","","","","","","","Gladengveien 1","OSLO","0661","OSLO","0301","Norge","NO","2022-03-01","","false","2022-02-01","","928825086",""
"974188465","FJELLKNATTEN BARNEHAGE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","88.911","Barnehager","","","","","","","false","","","Postboks 30","YTRE ENEBAKK","1917","ENEBAKK","3220","Norge","NO","Fjellveien 8B","YTRE ENEBAKK","1914","ENEBAKK","3220","Norge","NO","1995-02-22","","false","1989-01-02","","871523142",""
"926776967","EMILSEN MASKINTRANSPORT AS TVANGSAVVIKLINGSBO","AAFY","Underenhet til ikke-næringsdrivende","","","","","","","","","false","","","v/Adv. Erik Christoffer Heen/nHvervenmoveien 49","HØNEFOSS","3511","RINGERIKE","3305","Norge","NO","","HOV","2867","SØNDRE LAND","3447","Norge","NO","2021-03-11","","false","2021-03-11","","926776959",""
"976111915","BEDRE OG BEDRE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","82.300","Kongress-, messe- og utstillingsvirksomhet","","","","","","","true","19","","","","","","","","","Sankt Hallvards vei 15","LIERSTRANDA","3414","LIER","3312","Norge","NO","1996-02-21","","false","1993-11-01","","968398628",""
"998018242","VESTERAALENS HERMETIKFABRIK AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","Postboks 214","SORTLAND","8401","SORTLAND","1870","Norge","NO","Havnegata 17","SORTLAND","8400","SORTLAND","1870","Norge","NO","2012-02-23","","false","2012-02-23","","997409345",""
"981273451","WESTGAARD MASKIN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","46.610","Engroshandel med maskiner og utstyr til jordbruk og skogbruk","","","","","","","false","","","","","","","","","","Båstadveien 344","TRØGSTAD","1860","INDRE ØSTFOLD","3118","Norge","NO","1999-11-17","","false","1999-07-03","","980858219",""
"972578797","KRISTIANSUND DYREKLINIKK AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","75.000","Veterinærtjenester","","","","","","","true","12","","","","","","","","","Langveien 51","KRISTIANSUND N","6510","KRISTIANSUND","1505","Norge","NO","1995-02-23","","false","1983-01-01","2023-01-01","930842125",""
"925898333","PLUM AND PEACHY AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","46.421","Engroshandel med klær","","","","","","","false","","","Postboks 6513 Rodeløkka","OSLO","0501","OSLO","0301","Norge","NO","Christian Michelsens gate 6","OSLO","0568","OSLO","0301","Norge","NO","2020-11-03","","false","2020-11-02","","925874906",""
"993647977","JOHANSEN MAGNUS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","03.111","Hav- og kystfiske","","","","","","","false","","","","","","","","","","OTERBERG","LAKSELV","9700","PORSANGER","5622","Norge","NO","2009-02-12","","false","2008-01-01","","869616532",""
"926833693","A. NYGAARD GE CONSULTING","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","74.909","Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted","","","","","","","false","","","","","","","","","","c/o Arnfinn Nygaard/nLusetjernveien 74B","OSLO","1253","OSLO","0301","Norge","NO","2021-03-20","","false","2021-03-15","","926731351",""
"983985645","ADVOKAT GUNNAR KLAUSEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","69.100","Juridisk tjenesteyting","","","","","","","false","","www.advokatene-ssh.no","Postboks 339","SKIEN","3701","SKIEN","4003","Norge","NO","Cappelens gate 6A","SKIEN","3717","SKIEN","4003","Norge","NO","2001-12-03","","false","2001-11-01","","983928641",""
"997576152","NORPLAY AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","46.495","Engroshandel med spill og leker","","","","","","","true","6","","","","","","","","","P.A.Gloslis vei 16","SELLEBAKK","1654","FREDRIKSTAD","3107","Norge","NO","2011-11-10","","false","2011-01-01","2013-01-01","999541240",""
"978488633","LARS OLAV TUNHEIM VALSØ","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","01.451","Sauehold","02.200","Avvirkning","","","","","false","","","","","","","","","","Valsøyvegen 100","VALSØYFJORD","6687","HEIM","5055","Norge","NO","1997-07-09","","false","1970-06-04","1998-12-28","981288815",""
"925380733","ORIFARM NORWAY AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","46.460","Engroshandel med sykepleie- og apotekvarer","","","","","","","true","7","","","","","","","","","Sandakerveien 138","OSLO","0484","OSLO","0301","Norge","NO","2020-07-22","","false","2020-07-01","","924595388",""
"929875710","SEILER SKOGDALEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","90.034","Selvstendig kunstnerisk virksomhet innen litteratur","","","","","","","false","","","","","","","","","","Granvegen 34B","CHARLOTTENLUND","7058","TRONDHEIM","5001","Norge","NO","2022-09-20","","false","2022-07-01","","929619587",""
"972128198","TUSENFRYD","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","01.190","Dyrking av ettårige vekster ellers","","","","","","","false","","","Kjerkveien 1","RAMBERG","8380","FLAKSTAD","1859","Norge","NO","Flakstadveien 260","RAMBERG","8380","FLAKSTAD","1859","Norge","NO","1995-02-23","","false","1988-06-01","","946785954",""
