organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"924085150","SAMEIET GODAKERVEIEN 14","AAFY","Underenhet til ikke-næringsdrivende","","","","","","","","","true","","","Usbl Horten/nPostboks 382","HORTEN","3193","HORTEN","3901","Norge","NO","Usbl Horten/nTorget 6A","HORTEN","3181","HORTEN","3901","Norge","NO","2019-12-12","","false","","","916461801",""
"924346671","DENNE ERITREISK ORTODOKSE MENIGHET I HØNEFOSS","AAFY","Underenhet til ikke-næringsdrivende","94.910","Religiøse organisasjoner","","","","","","","false","","","c/o Debesay Tsegay/nGullovveien 12","SOKNA","3534","RINGERIKE","3305","Norge","NO","","","","","","","","2020-01-03","","false","2020-01-03","","924344326",""
"927395916","MT MYRVANGS TJENESTER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","81.101","Vaktmestertjenester","","","","","","","false","","","","","","","","","","Joneløkkveien 4","ØRJE","1870","MARKER","3122","Norge","NO","2023-03-09","","false","2023-01-02","","927212560",""
"931516078","BAMBLE CHIN FORENING","AAFY","Underenhet til ikke-næringsdrivende","93.120","Idrettslag og -klubber","","","","","","","false","","","","","","","","","","c/o Siang Lian Cung Bawi Tlung/nSkoglia 10A","LANGESUND","3970","BAMBLE","4012","Norge","NO","2023-06-05","","false","2023-06-05","","930975281",""
"922524270","MUNOR'S VENNER","AAFY","Underenhet til ikke-næringsdrivende","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","false","","","","","","","","","","c/o Jan Velde/nSlåttåvegen 25","AVALDSNES","4262","KARMØY","1149","Norge","NO","2019-03-25","","false","","","921707533",""
"994454099","THOR ERIK HOLSTAD","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","01.110","Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster","","","","","","","false","","","","","","","","","","Stegenveien 821","SPYDEBERG","1821","INDRE ØSTFOLD","3118","Norge","NO","1997-06-13","","false","1991-03-04","","894391472",""
"929596668","LERVÅG EIENDOM HOLDING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.100","Kjøp og salg av egen fast eiendom","","","","","70.100","Hovedkontortjenester","false","","","","","","","","","","Hitterveien 34","SANDSTAD","7246","HITRA","5056","Norge","NO","2022-08-04","","false","2022-05-13","","929307879",""
"971844507","RINGERIKE KJØL OG FRYSESERVICE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","43.222","Kuldeanlegg- og varmepumpearbeid","","","","","","","true","","","Postboks 1318 Flattum","HØNEFOSS","3503","RINGERIKE","3305","Norge","NO","Hov Industripark","HØNEFOSS","3515","RINGERIKE","3305","Norge","NO","1995-02-22","","false","1970-12-30","2014-01-01","913301714",""
"973090631","NILS H SÆTHER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","77.390","Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted","","","","","","","false","","","","","","","","","","Øksendalsvegen 438","ØKSENDAL","6610","SUNNDAL","1563","Norge","NO","2014-04-08","","false","2013-05-02","","920070981",""
"917794103","SAGOSA AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","true","","","","","","","","","","Nordlivegen 16","CHARLOTTENLUND","7060","TRONDHEIM","5001","Norge","NO","2016-09-28","","false","2016-06-15","","917403864",""
