organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"923727027","KILDEN SAMFUNNSBYGG AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","64.302","Alternative investeringsfond (AIF) som ikke er verdipapirfond","","","","","","","false","","","Postboks 1833 Vika","OSLO","0123","OSLO","0301","Norge","NO","Haakon VIIs gate 5","OSLO","0161","OSLO","0301","Norge","NO","2019-10-30","","false","2019-10-10","","923641394",""
"989857126","FØRDE BILBERGING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","52.219","Tjenester tilknyttet landtransport ellers","","","","","","","true","38","","Postboks 42","FØRDE","6801","SUNNFJORD","4647","Norge","NO","Brulandsvegen 310","FØRDE","6819","SUNNFJORD","4647","Norge","NO","2006-05-27","","false","2006-05-15","2013-06-15","899204182",""
"972536717","BERGER ARNE JOHAN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.200","Oppføring av bygninger","","","","","","","false","","","","","","","","","","Åssiden 7E","TRØGSTAD","1860","INDRE ØSTFOLD","3118","Norge","NO","1995-02-22","","false","1980-07-01","","970287248",""
"972402257","BRØSTAD BIL AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","45.200","Vedlikehold og reparasjon av motorvogner, unntatt motorsykler","","","","","","","true","","","","","","","","","","Dalgårdveien 1","BRØSTADBOTN","9311","DYRØY","5528","Norge","NO","1995-02-23","","false","1994-07-01","","970287248",""
"923930965","JOAKIM STAKSTON OLSRUD","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","85.522","Undervisning i kunstfag","","","","","","","false","","","","","","","","","","Leilighet 207/nMoldegata 37","OSLO","0445","OSLO","0301","Norge","NO","2019-11-25","","false","2019-10-10","","923681183",""
"930723622","MOUVER AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","true","","","","","","","","","","Lagerveien 18","STAVANGER","4033","STAVANGER","1103","Norge","NO","2023-01-26","","false","2023-01-05","","923681183",""
"971724463","MATKROKEN KVISVIK AVD 4435","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.111","Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler","","","","","","","true","5","","","","","","","","","v/Ica Matkroken","KVISVIK","6674","TINGVOLL","1560","Norge","NO","1995-02-23","","false","1965-12-31","2013-12-15","912828441",""
"823591322","BUNADSBELTEBUA AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","14.190","Produksjon av klær og tilbehør ellers","","","","","","","true","","","","","","","","","","Tåtøyveien 89","KRAGERØ SKJÆRGÅRD","3783","KRAGERØ","4014","Norge","NO","2019-10-12","","false","2019-08-20","","912828441",""
"928682854","SNN SENIORFORENING MIDT-TROMS","AAFY","Underenhet til ikke-næringsdrivende","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","false","","","","","","","","","","c/o Sparebank1 Nord-Norge/nRingveien 49","FINNSNES","9300","SENJA","5530","Norge","NO","2022-02-05","","false","2022-02-05","","928681890",""
"986836217","MEYER FILM Eirik Meyer Amundsen","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","59.110","Produksjon av film, video og fjernsynsprogrammer","","","","","","","false","","","","","","","","","","Solbakken 12","BERGEN","5038","BERGEN","4601","Norge","NO","2004-04-29","","false","2004-04-28","","928681890",""
"930895075","SEGLEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","86.211","Allmenn legetjeneste","","","","","","","false","","","","","","","","","","Nordbyen 33","TØNSBERG","3111","TØNSBERG","3905","Norge","NO","2023-02-25","","false","2023-01-03","","930646717",""
"922439206","SAMEIET FALSENS VEI 69-73","AAFY","Underenhet til ikke-næringsdrivende","","","","","","","","","false","","","c/o Vestbo/nPostboks 1947 Nordnes","BERGEN","5817","BERGEN","4601","Norge","NO","Strandgaten 196","BERGEN","5004","BERGEN","4601","Norge","NO","2019-03-25","","false","","","930646717",""
"831849282","NYMANSVEIEN 133","AAFY","Underenhet til ikke-næringsdrivende","97.000","Lønnet arbeid i private husholdninger","","","","","","","false","","","","","","","","","","c/o Benjamin Oliver Hipkiss/nNymansveien 133B","STAVANGER","4015","STAVANGER","1103","Norge","NO","2023-08-08","","false","2023-08-08","","930646717",""
"927915324","PRIME IMPORT AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","46.390","Engroshandel med bredt utvalg av nærings- og nytelsesmidler","","","","","","","false","","","c/o Susanne Opsahl/nBriskebyvegen 12B","HAMAR","2321","HAMAR","3403","Norge","NO","Briskebyvegen 12B","HAMAR","2321","HAMAR","3403","Norge","NO","2021-10-12","","false","2021-06-14","","927209837",""
"924529644","AUREAS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.990","Detaljhandel utenom utsalgssted ellers","","","","","","","false","","","","","","","","","","c/o Vidar Brænden/nDamtjernvegen 210","ELVERUM","2413","ELVERUM","3420","Norge","NO","2020-02-03","","false","2020-01-07","","924411449",""
"917022747","NAPER KRAGERØ AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Edvard Munchs vei 16","KRAGERØ","3770","KRAGERØ","4014","Norge","NO","2016-04-19","","false","2015-11-01","","882703762",""
"996469549","KLINIKKEN VED HAVET AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","86.230","Tannhelsetjenester","","","","","","","true","8","klinikkenvedhavet.no","","","","","","","","Strandåkeren 21","HARSTAD","9414","HARSTAD","5503","Norge","NO","2011-01-25","","false","2011-01-12","","882703762",""
"820116852","STIFTELSEN STEINLØFTET","AAFY","Underenhet til ikke-næringsdrivende","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","false","","","c/o Torild Storvik Malmedal/nStølsvegen 2","ELNESVÅGEN","6440","HUSTADVIKA","1579","Norge","NO","","EIDE","6490","HUSTADVIKA","1579","Norge","NO","2017-12-15","","false","","","998590639",""
"971760354","AUTOHUSET VALDRES AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","45.200","Vedlikehold og reparasjon av motorvogner, unntatt motorsykler","","","","","","","true","12","","Postboks 95","FAGERNES","2901","NORD-AURDAL","3451","Norge","NO","Kongsvegen 4","LEIRA I VALDRES","2920","NORD-AURDAL","3451","Norge","NO","1995-02-22","","false","1965-12-31","2019-12-12","923255664",""
"986978542","KVINNHERAD KOMMUNE BARN OG FAMILIE VILLATOPPEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","87.304","Avlastningsboliger/-institusjoner","","","","","","","true","25","","Rådhuset/nRosendalsvegen 10","ROSENDAL","5470","KVINNHERAD","4617","Norge","NO","Husnestunet","HUSNES","5460","KVINNHERAD","4617","Norge","NO","2004-06-17","","false","2004-04-01","","994202294",""
"930418374","FK NYGATA EIENDOM AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","Postboks 504 Vestre Glemmen","FREDRIKSTAD","1612","FREDRIKSTAD","3107","Norge","NO","Storgata 5","FREDRIKSTAD","1607","FREDRIKSTAD","3107","Norge","NO","2022-12-13","","false","2021-01-01","","994202294",""
"979319800","FAU HASLUM IDRETTSBARNEHAGE","AAFY","Underenhet til ikke-næringsdrivende","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","false","","","","","","","","","","Gjønnesjordet 36","BEKKESTUA","1357","BÆRUM","3201","Norge","NO","2021-12-08","","false","2021-12-08","","956503523",""
"926965557","EFRI HALFA AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","79.903","Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet","","","","","","","false","","","","","","","","","","Vesteråvegen 868","OVERHALLA","7863","OVERHALLA","5047","Norge","NO","2021-04-19","","false","2021-03-26","","926948695",""
"928407438","WORKSFIX AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","78.100","Rekruttering og formidling av arbeidskraft","","","","","","","true","","","","","","","","","","Øyro 31","OS","5200","BJØRNAFJORDEN","4624","Norge","NO","2021-12-18","","false","2021-11-08","","926948695",""
"918461108","LEAN FREELANCE CONSULTING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","false","","www.leanfreelance.no","","","","","","","","Lyngneset 7","AUKLANDSHAMN","5551","SVEIO","4612","Norge","NO","2017-01-28","","false","2017-01-03","","918397981",""
"980483185","OPSETH EIGEDOM AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","true","","","C/O Tor Opseth/nPrestebøen 15E","FØRDE","6809","SUNNFJORD","4647","Norge","NO","Prestebøen 15E","FØRDE","6809","SUNNFJORD","4647","Norge","NO","1999-01-29","","false","1998-01-01","","911899884",""
"919048867","ÅKRE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","11.030","Produksjon av sider og annen fruktvin","","","","","","","true","5","","","","","","","","","c/o Gjermund Åkre/nÅkre","NÅ","5776","ULLENSVANG","4618","Norge","NO","2017-05-27","","false","2017-05-10","","918976515",""
"922616485","BIOTRANSPORT SINDRE BRÅTHEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","49.410","Godstransport på vei","01.110","Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster","","","","","false","","","","","","","","","","Skaugeveien 27","SARPSBORG","1708","SARPSBORG","3105","Norge","NO","2019-04-09","","false","2019-02-12","","822427332",""
"931149784","NORSK SCANIA AS AVD OSLO","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","45.200","Vedlikehold og reparasjon av motorvogner, unntatt motorsykler","","","","","","","true","76","","Postboks 83   Leirdal","OSLO","1008","OSLO","0301","Norge","NO","Gamle Leirdals vei 11","OSLO","1081","OSLO","0301","Norge","NO","1995-02-22","","false","1965-12-31","1999-07-01","931149717",""
"875042572","NSF AGDER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","94.200","Arbeidstakerorganisasjoner","","","","","","","true","9","","","","","","","","","Dronningens gate 12","KRISTIANSAND S","4610","KRISTIANSAND","4204","Norge","NO","1999-02-05","","false","1992-01-01","","960893506",""
"973580361","YOUIL ENERGY TECH.CO.LTD","AAFY","Underenhet til ikke-næringsdrivende","33.200","Installasjon av industrimaskiner og -utstyr","","","","","","","false","","","v/Wonmin Jeong/nFunkeliveien 4A","KONGSBERG","3616","KONGSBERG","3303","Norge","NO","31-10, Jinwi2sandan-ro/nJinwi-myeon, Pyeongtaek-si/nGyeonggi-do","17708 PYEONG TAEK","","","","Sør-Korea","KR","2023-07-22","","false","2023-07-22","","960893506",""
"974042673","NSF NORDLAND","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","94.200","Arbeidstakerorganisasjoner","","","","","","","true","6","","","","","","","","","Sjøgata 27","BODØ","8006","BODØ","1804","Norge","NO","1995-02-23","","false","","","960893506",""
"974126540","NORSK SYKEPLEIERFORBUND AVD HOVEDKONTOR","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","94.200","Arbeidstakerorganisasjoner","","","","","","","true","174","","Postboks 456 Sentrum","OSLO","0104","OSLO","0301","Norge","NO","Tollbugata 22","OSLO","0152","OSLO","0301","Norge","NO","1995-02-22","","false","1970-12-30","","960893506",""
"975042456","BRIAN BORU AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","56.301","Drift av puber","","","","","","","true","18","","c/o Aval AS/nLaguneveien 7","RÅDAL","5239","BERGEN","4601","Norge","NO","Kong Oscars gate 16","BERGEN","5017","BERGEN","4601","Norge","NO","2018-09-24","","false","2018-10-01","","960893506",""
"975042464","MARKA BARNEHAGE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","88.911","Barnehager","","","","","","","true","38","","","","","","","","","Lyngvegen 9","HUNNDALEN","2827","GJØVIK","3407","Norge","NO","1996-10-15","","false","1990-01-01","2001-04-01","960893506",""
"975042472","SCAN TANK AUTO AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","45.200","Vedlikehold og reparasjon av motorvogner, unntatt motorsykler","","","","","","","true","","","","","","","","","","Travparkvegen 65","BREISTEIN","5111","BERGEN","4601","Norge","NO","2012-07-26","","false","2012-06-05","","960893506",""
